2018-04-10T07:46:34.101Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T07:52:39.961Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=5
2018-04-10T08:06:30.824Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T08:07:39.877Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T08:20:20.964Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T08:22:39.812Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T08:31:26.910Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=5
2018-04-10T08:37:39.812Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T08:52:03.461Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T08:52:25.081Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
